id experiment reason pct
23 log4j1-fixed "shared field read" 0.061224489795918366
24 log4j1-fixed "shared field write" 0.006802721088435374
25 log4j1-fixed "static read" 0.027210884353741496
26 log4j1-fixed "transition or lock" 0.19047619047619047
27 log4j2-fixed "<clinit>" 0.07407407407407407
28 log4j2-fixed "<init>" 0.4074074074074074
29 log4j2-fixed "array type" 0.018518518518518517
30 log4j2-fixed "blacklisted" 0.07407407407407407
31 log4j2-fixed "native method" 0.21296296296296297
32 log4j2-fixed "shared field read" 0.0
33 log4j2-fixed "shared field write" 0.009259259259259259
34 log4j2-fixed "static read" 0.018518518518518517
35 log4j2-fixed "transition or lock" 0.18518518518518517
36 log4j3-fixed "<clinit>" 0.08695652173913043
37 log4j3-fixed "<init>" 0.3858695652173913
38 log4j3-fixed "array type" 0.04891304347826087
39 log4j3-fixed "blacklisted" 0.07608695652173914
40 log4j3-fixed "native method" 0.1956521739130435
41 log4j3-fixed "shared field read" 0.0
42 log4j3-fixed "shared field write" 0.0
43 log4j3-fixed "static read" 0.03260869565217391
44 log4j3-fixed "transition or lock" 0.17391304347826086
45 pool1-fixed "<clinit>" 0.015151515151515152
46 pool1-fixed "<init>" 0.3106060606060606
47 pool1-fixed "array type" 0.030303030303030304
48 pool1-fixed "blacklisted" 0.07575757575757576
49 pool1-fixed "native method" 0.09090909090909091
50 pool1-fixed "shared field read" 0.2196969696969697
51 pool1-fixed "shared field write" 0.015151515151515152
52 pool1-fixed "static read" 0.007575757575757576
53 pool1-fixed "transition or lock" 0.23484848484848486
54 pool2-fixed "<clinit>" 0.015151515151515152
55 pool2-fixed "<init>" 0.3106060606060606
56 pool2-fixed "array type" 0.030303030303030304
57 pool2-fixed "blacklisted" 0.09090909090909091
58 pool2-fixed "native method" 0.09090909090909091
59 pool2-fixed "shared field read" 0.2196969696969697
60 pool2-fixed "shared field write" 0.0
61 pool2-fixed "static read" 0.007575757575757576
62 pool2-fixed "transition or lock" 0.23484848484848486
63 pool3-fixed "<clinit>" 0.027777777777777776
64 pool3-fixed "<init>" 0.4722222222222222
65 pool3-fixed "array type" 0.037037037037037035
66 pool3-fixed "blacklisted" 0.12962962962962962
67 pool3-fixed "native method" 0.10185185185185185
68 pool3-fixed "shared field read" 0.0
69 pool3-fixed "shared field write" 0.0
70 pool3-fixed "static read" 0.0
71 pool3-fixed "transition or lock" 0.23148148148148148
72 pool6-fixed "<clinit>" 0.017543859649122806
73 pool6-fixed "<init>" 0.3684210526315789
74 pool6-fixed "array type" 0.03508771929824561
75 pool6-fixed "blacklisted" 0.09649122807017543
76 pool6-fixed "native method" 0.08771929824561403
77 pool6-fixed "shared field read" 0.07894736842105263
78 pool6-fixed "shared field write" 0.0
79 pool6-fixed "static read" 0.02631578947368421
80 pool6-fixed "transition or lock" 0.2894736842105263
